"type","w1_str","w2_str","bi.freq","w1.freq","w2.freq"
"flask_and","flask","and",29,270,2614893
"very_own","very","own",195,118143,68842
"them_into","them","into",1786,166575,157599
"eyeing_her","eyeing","her",51,242,302784
"offer_other","offer","other",13,15552,152211
"affected_were","affected","were",15,5914,307547
"butterflies_in","butterflies","in",29,492,1937245
"slip_over","slip","over",17,2246,122926
"of_opec","of","opec",21,3041281,326
"associate_editor","associate","editor",14,1200,3582
"law_regarding","law","regarding",11,26298,2432
"life_back","life","back",44,54177,96552
"NUM_right","NUM","right",127,1265511,79132
"man_u","man","u",37,54479,4163
"drunk_on","drunk","on",54,2132,727437
"business_arrangement","business","arrangement",14,34677,3193
"their_copies","their","copies",15,254217,3457
"the_beneficiary","the","beneficiary",187,6036130,475
"our_news","our","news",26,93040,13617
"proved_as","proved","as",55,6805,653528
"language_but","language","but",171,18459,443525
"you_looking","you","looking",221,579748,25313
"also_eligible","also","eligible",11,123293,1328
"malaysia_the","malaysia","the",24,596,6036130
"draw_but","draw","but",31,7171,443525
"support_were","support","were",34,30496,307547
"probably_in","probably","in",400,26091,1937245
"official_ulster","official","ulster",11,9543,2231
"two_vans","two","vans",12,150771,352
"denmark_for","denmark","for",18,1248,877618
"good_basic","good","basic",20,77084,10719
"on_garden","on","garden",20,727437,10564
"office_there","office","there",55,24537,283568
"because_s","because","s",12,100244,19436
"sufferers_as","sufferers","as",11,725,653528
"services_act","services","act",303,24622,27083
"support_available","support","available",38,30496,26949
"constituency_section","constituency","section",11,1859,18219
"from_war","from","war",53,423379,27046
"three_regions","three","regions",35,76957,4172
"of_excluding","of","excluding",30,3041281,1092
"cards_that","cards","that",40,3777,1048180
"latter_stages","latter","stages",39,7273,4091
"high-rise_blocks","high-rise","blocks",14,133,2186
"and_satirical","and","satirical",14,2614893,183
"a_distant","a","distant",474,2169721,2761
"bill_currently","bill","currently",14,13026,7040
"with_boots","with","boots",17,658333,2790
"with_rich","with","rich",64,658333,6663
"them_becomes","them","becomes",16,166575,7638
"open_ended","open","ended",40,29326,7095
"particular_reason","particular","reason",97,28733,18172
"account_balance","account","balance",28,16096,8725
"be_wealthy","be","wealthy",14,649613,1317
"being_attended","being","attended",14,87540,3448
"and_solution","and","solution",34,2614893,6758
"amount_by","amount","by",58,13467,511973
"became_particularly","became","particularly",21,21744,21631
"paper_products","paper","products",25,16550,10504
"a_three-year","a","three-year",368,2169721,667
"of_gravy","of","gravy",12,3041281,253
"army_bra","army","bra",11,10775,337
"you'll_excuse","you'll","excuse",83,11800,2678
"have_easy","have","easy",34,447159,14155
"afford_anything","afford","anything",17,4385,27087
"the_safari","the","safari",22,6036130,217
"daylight_but","daylight","but",13,950,443525
"mosaics_are","mosaics","are",31,469,456718
"out_surveys","out","surveys",14,196367,1905
"in_address","in","address",12,1937245,6745
"myself_this","myself","this",35,11937,452531
"martin_are","martin","are",12,4746,456718
"generator_for","generator","for",22,431,877618
"to_shave","to","shave",67,2593392,313
"fascinating_as","fascinating","as",20,1614,653528
"government_proposes","government","proposes",12,56094,660
"faction_the","faction","the",21,715,6036130
"are_lovely","are","lovely",51,456718,5577
"stopped_thinking","stopped","thinking",23,8856,12806
"paul_had","paul","had",126,9893,412099
"total_registered","total","registered",16,17345,3371
"practitioners_to","practitioners","to",94,1910,2593392
"benefits_derived","benefits","derived",20,7624,3394
"it_personally","it","personally",35,918894,2551
"one_concession","one","concession",12,287758,707
"joseph_said","joseph","said",24,2634,193749
"most_mothers","most","mothers",15,97960,3078
"flying_it","flying","it",15,4609,918894
"attempts_were","attempts","were",149,5119,307547
"description_will","description","will",19,4731,250441
"of_bondage","of","bondage",18,3041281,147
"administrative_receiver","administrative","receiver",68,3498,1467
"always_attracted","always","attracted",23,44189,2791
"still_produce","still","produce",20,71594,11469
"pair_will","pair","will",38,5878,250441
"information_pack","information","pack",87,37932,3326
"water_use","water","use",23,33535,62024
"continent_of","continent","of",88,1500,3041281
"and_stella","and","stella",36,2614893,578
"comments_that","comments","that",189,4047,1048180
"including_information","including","information",20,23926,37932
"from_jesus","from","jesus",26,423379,4873
"process_models","process","models",38,22422,5207
"integrated_and","integrated","and",73,2634,2614893
"always_was","always","was",144,44189,860745
"didn't_you","didn't","you",1640,43743,579748
"arrange_some","arrange","some",11,2205,166759
"NUM_hollywood","NUM","hollywood",15,1265511,1494
"scottish_journal","scottish","journal",21,9878,2305
"and_multilateral","and","multilateral",20,2614893,303
"own_word","own","word",16,68842,18521
"effort_he","effort","he",43,7539,588865
"road_off","road","off",28,26407,67589
"know_what'll","know","what'll",18,115518,147
"generate_an","generate","an",81,1976,336611
"his_agricultural","his","agricultural",11,409172,4010
"improve_communication","improve","communication",23,6158,6003
"by_kicking","by","kicking",23,511973,979
"deep_regret","deep","regret",31,10155,1569
"furniture_stores","furniture","stores",11,3411,2345
"county's_NUM","county's","NUM",11,376,1265511
"and_utah","and","utah",11,2614893,208
"irish_state","irish","state",15,5805,37791
"roger_bacon","roger","bacon",11,2318,1239
"came_because","came","because",33,44644,100244
"her_reply","her","reply",66,302784,4185
"between_school","between","school",74,90462,35849
"regulations_governing","regulations","governing",61,4175,1756
"our_english","our","english",54,93040,22773
"fluid_or","fluid","or",12,1625,368104
"the_aristocratic","the","aristocratic",85,6036130,497
"diet_for","diet","for",114,4116,877618
"made_while","made","while",31,91349,54704
"like_little","like","little",111,146876,62274
"concentrating_hard","concentrating","hard",14,1142,22100
"and_greed","and","greed",54,2614893,480
"trap_and","trap","and",82,1624,2614893
"isambard_had","isambard","had",14,185,412099
"seem_perfectly","seem","perfectly",13,16483,4285
"businessman_the","businessman","the",14,941,6036130
"gallery_i","gallery","i",17,4025,720226
"triangles_of","triangles","of",20,247,3041281
"been_located","been","located",64,259718,2496
"we_replaced","we","replaced",11,299533,5551
"still_where","still","where",15,71594,102130
"physic_garden","physic","garden",48,76,10564
"identify_those","identify","those",96,4943,86818
"viruses_that","viruses","that",23,478,1048180
"a_severely","a","severely",57,2169721,1735
"large_tracts","large","tracts",48,34214,337
"three_metres","three","metres",64,76957,3356
"a_barbarian","a","barbarian",21,2169721,160
"element_should","element","should",13,5526,104688
"remarkable_woman","remarkable","woman",20,3456,20106
"brought_into","brought","into",764,19593,157599
"gender_role","gender","role",14,1927,17947
"help_because","help","because",50,36617,100244
"vision_they","vision","they",12,4066,374148
"draw_of","draw","of",17,7171,3041281
"ramaswamy_venkataraman","ramaswamy","venkataraman",14,28,25
"actual_facts","actual","facts",11,6764,5036
"well_that's","well","that's",2489,137061,66103
"voluntary_severance","voluntary","severance",16,3859,162
"else_comes","else","comes",19,18713,15642
"papacy_as","papacy","as",12,256,653528
"of_fortifications","of","fortifications",11,3041281,132
"get_wet","get","wet",64,95302,3778
"sources_also","sources","also",13,6546,123293
"like_your","like","your",548,146876,133494
"ascending_the","ascending","the",15,235,6036130
"strategic_importance","strategic","importance",57,3011,9564
"mean_someone","mean","someone",13,42394,16858
"five_star","five","star",62,38861,6364
"and_stiff","and","stiff",71,2614893,1447
"take_cover","take","cover",24,69307,10877
"woodwork_and","woodwork","and",30,300,2614893
"his_excitement","his","excitement",47,409172,2479
"irish_politics","irish","politics",21,5805,6913
"trough_and","trough","and",29,317,2614893
"does_possess","does","possess",12,49596,1519
"you_suspect","you","suspect",88,579748,2825
"investment_i","investment","i",17,10766,720226
"on_ideas","on","ideas",52,727437,10729
"media_were","media","were",53,7782,307547
"or_butter","or","butter",29,368104,2016
"forgetting_her","forgetting","her",24,759,302784
"etcetera_and","etcetera","and",42,482,2614893
"was_filming","was","filming",25,860745,630
"his_brave","his","brave",17,409172,1707
"previous_six","previous","six",52,12037,28773
"provide_it","provide","it",130,22140,918894
"museum_near","museum","near",11,6305,17807
"from_i","from","i",152,423379,720226
"on_news","on","news",57,727437,13617
"the_madam","the","madam",27,6036130,722
"confused_state","confused","state",16,2377,37791
"new_journals","new","journals",15,123449,1018
"my_interview","my","interview",22,145643,4568
"public_employees","public","employees",65,38169,5556
"amalgamation_and","amalgamation","and",12,249,2614893
"he's_back","he's","back",104,31961,96552
"that_flashed","that","flashed",23,1048180,734
"was_properly","was","properly",81,860745,5486
"and_planetary","and","planetary",11,2614893,267
"their_beat","their","beat",11,254217,5537
"detective_was","detective","was",14,1489,860745
"a_motif","a","motif",31,2169721,943
"taunted_him","taunted","him",20,167,153095
"upstairs_he","upstairs","he",18,2555,588865
"of_san","of","san",305,3041281,2476
"patient_groups","patient","groups",26,7249,19120
"public_from","public","from",86,38169,423379
"high_upon","high","upon",11,38053,22762
"move_now","move","now",26,19570,137275
"less_strongly","less","strongly",34,38495,4521
"swamped_in","swamped","in",13,278,1937245
"was_credited","was","credited",56,860745,495
"b_news","b","news",11,22089,13617
"his_delivery","his","delivery",35,409172,3525
"wide_road","wide","road",12,11803,26407
"probably_my","probably","my",14,26091,145643
"uk_over","uk","over",33,16482,122926
"whose_home","whose","home",47,19274,50160
"and_wetherall","and","wetherall",18,2614893,66
"outside_london","outside","london",191,20977,32436
"of_affective","of","affective",22,3041281,206
"information_service","information","service",212,37932,30014
"a_reach","a","reach",24,2169721,7857
"hanging_at","hanging","at",20,2876,521986
"complex_are","complex","are",21,9369,456718
"a_knowing","a","knowing",75,2169721,4707
"software_you","software","you",21,9244,579748
"capability_for","capability","for",36,905,877618
"for_rose","for","rose",21,877618,10258
"tapes_on","tapes","on",22,1386,727437
"cultures_have","cultures","have",26,1620,447159
"bowel_function","bowel","function",28,1245,8542
"topics_include","topics","include",27,1904,15063
"position_above","position","above",15,22666,24838
"on_sight","on","sight",60,727437,6315
"the_open-field","the","open-field",11,6036130,32
"over_rocks","over","rocks",24,122926,2847
"tropical_medicine","tropical","medicine",46,1575,2697
"car_roof","car","roof",14,26136,3978
"yet_but","yet","but",335,33596,443525
"personnel_for","personnel","for",26,3292,877618
"urban_area","urban","area",142,5347,33100
"had_gone","had","gone",4049,412099,18313
"recently_won","recently","won",56,12150,11552
"delivered_or","delivered","or",15,3021,368104
"boss_graham","boss","graham",31,3051,3615
"said_home","said","home",13,193749,50160
"head_teacher","head","teacher",198,35586,7972
"market_who","market","who",18,29564,191162
"faces_an","faces","an",39,4419,336611
"more_comfortably","more","comfortably",57,208888,898
"for_elementary","for","elementary",19,877618,699
"offering_it","offering","it",57,4965,918894
"traditional_image","traditional","image",17,9677,7300
"a_paranoid","a","paranoid",25,2169721,285
"could_they","could","they",392,143186,374148
"robinson_had","robinson","had",25,1415,412099
"only_creates","only","creates",12,148191,1420
"those_commitments","those","commitments",17,86818,1308
"the_chimpanzees","the","chimpanzees",23,6036130,195
"west_london","west","london",380,20843,32436
"finishes_at","finishes","at",37,547,521986
"it_qualifies","it","qualifies",11,918894,165
"small_landowners","small","landowners",15,42952,778
"supplier_who","supplier","who",13,1290,191162
"th_one","th","one",17,4455,287758
"book_only","book","only",17,23959,148191
"projects_which","projects","which",197,5622,364831
"his_superiority","his","superiority",18,409172,746
"has_puzzled","has","puzzled",11,252098,1106
"periodically_and","periodically","and",20,395,2614893
"so_quite","so","quite",41,236139,39307
"judges_who","judges","who",69,2614,191162
"a_customised","a","customised",13,2169721,130
"phil_danaher","phil","danaher",11,1860,22
"always_this","always","this",51,44189,452531
"nonpublic_information","nonpublic","information",11,11,37932
"a_genuinely","a","genuinely",149,2169721,1375
"that_ugly","that","ugly",11,1048180,1291
"with_arguments","with","arguments",21,658333,3788
"he_bumped","he","bumped",20,588865,326
"pre-paid_envelope","pre-paid","envelope",14,49,1282
"won_t","won","t",24,11552,11492
"events_you","events","you",17,10210,579748
"files_into","files","into",16,2915,157599
"lecturer_who","lecturer","who",31,942,191162
"television_i","television","i",32,9515,720226
"least_when","least","when",85,30246,208943
"snow_before","snow","before",11,3385,84765
"islamic_party","islamic","party",21,1294,37409
"cracking_pace","cracking","pace",12,528,3120
"surrounding_villages","surrounding","villages",41,2982,2761
"who_recently","who","recently",141,191162,12150
"sealed_up","sealed","up",25,1170,206222
"daughter_my","daughter","my",15,8569,145643
"his_territory","his","territory",63,409172,2997
"themselves_working","themselves","working",14,22993,28571
"of_hinduism","of","hinduism",24,3041281,161
"capitalism_would","capitalism","would",12,1856,228948
"of_rice","of","rice",164,3041281,1617
"two_scenes","two","scenes",16,150771,2024
"right_does","right","does",29,79132,49596
"these_practices","these","practices",94,123180,4496
"the_constituency's","the","constituency's",11,6036130,16
"successful_coup","successful","coup",11,10676,1705
"message_being","message","being",11,6642,87540
"gold_i","gold","i",16,7477,720226
"a_standard","a","standard",1388,2169721,12580
"slum_areas","slum","areas",20,293,23204
"agricultural_practice","agricultural","practice",17,4010,16891
"relative_share","relative","share",12,5760,13318
"finished_an","finished","an",15,8184,336611
"age_after","age","after",14,21315,113561
"groups_within","groups","within",169,19120,45536
"risk_they","risk","they",26,11671,374148
"and_aahs","and","aahs",12,2614893,15
"accommodated_and","accommodated","and",14,454,2614893
"read_modern","read","modern",13,17061,12877
"of_coventry","of","coventry",69,3041281,1067
"i_k","i","k",25,720226,5443
"collect_on","collect","on",18,2760,727437
"and_regulating","and","regulating",25,2614893,422
"generation_and","generation","and",231,4809,2614893
"the_pavilions","the","pavilions",15,6036130,95
"NUM_carrying","NUM","carrying",34,1265511,5717
"united_front","united","front",225,18824,20831
"london_news","london","news",51,32436,13617
"curriculum_assessment","curriculum","assessment",15,5263,6627
"NUM_workers","NUM","workers",298,1265511,13422
"feng_shui","feng","shui",14,48,22
"trade_gap","trade","gap",49,19652,3347
"its_lexical","its","lexical",14,160263,1071
"workmen_in","workmen","in",19,435,1937245
"feature_writer","feature","writer",16,6175,3429
"valid_in","valid","in",75,2265,1937245
"known_as","known","as",6842,25141,653528
"any_conclusions","any","conclusions",43,121356,2112
"her_hope","her","hope",20,302784,16999
"the_redistribution","the","redistribution",72,6036130,402
"desires_that","desires","that",13,857,1048180
"more_embarrassed","more","embarrassed",13,208888,1381
"me_boy","me","boy",34,129661,11558
"once_inside","once","inside",102,36827,13489
"also_further","also","further",16,123293,35587
"went_hungry","went","hungry",14,45650,1754
"the_guilds","the","guilds",45,6036130,270
"anxiety_for","anxiety","for",52,2568,877618
"protests_about","protests","about",21,1215,191133
"our_guns","our","guns",15,93040,1837
"were_traditionally","were","traditionally",40,307547,2034
"services_from","services","from",188,24622,423379
"writ_is","writ","is",25,539,970830
"wage_a","wage","a",12,3191,2169721
"one_millionth","one","millionth",13,287758,49
"fishing_fleet","fishing","fleet",28,3323,2058
"officers_should","officers","should",45,8414,104688
"the_cecil","the","cecil",12,6036130,559
"of_thumb","of","thumb",160,3041281,1075
"who_feels","who","feels",90,191162,3201
"better_have","better","have",130,34513,447159
"of_catalogues","of","catalogues",27,3041281,659
"little_question","little","question",15,62274,25337
"fighter_pilot","fighter","pilot",42,938,3041
"were_pinned","were","pinned",30,307547,628
"large_items","large","items",16,34214,6657
"one_worker","one","worker",23,287758,3414
"general_secretaries","general","secretaries",17,37524,760
"running_slowly","running","slowly",11,13494,7358
"sexual_partners","sexual","partners",70,6760,3796
"daddy_you","daddy","you",14,1580,579748
"a_mix-up","a","mix-up",33,2169721,86
"bar_across","bar","across",25,7593,23960
"any_utterance","any","utterance",11,121356,795
"as_individuals","as","individuals",319,653528,7837
"make-up_remover","make-up","remover",12,1276,86
"unsuccessfully_for","unsuccessfully","for",38,347,877618
"least_we","least","we",240,30246,299533
"lawyer_or","lawyer","or",48,2058,368104
"incur_a","incur","a",42,324,2169721
"sensing_a","sensing","a",25,440,2169721
"deputies_which","deputies","which",14,1176,364831
"release_some","release","some",21,6509,166759
"yeah_all","yeah","all",85,33196,275882
"he_predicts","he","predicts",24,588865,384
"supervision_from","supervision","from",13,1672,423379
"our_chance","our","chance",21,93040,12719
"five_lengths","five","lengths",17,38861,1280
"be_modelled","be","modelled",50,649613,508
"effect_here","effect","here",12,23082,64834
"conflicting_reports","conflicting","reports",16,920,10886
"battle_against","battle","against",284,6365,54845
"of_child-rearing","of","child-rearing",21,3041281,120
"your_options","your","options",28,133494,3719
"activated_the","activated","the",38,718,6036130
"essential_question","essential","question",11,8601,25337
"actually_there","actually","there",73,25288,283568
"the_pubic","the","pubic",23,6036130,114
"lt_-gen","lt","-gen",186,769,616
"cleaned_his","cleaned","his",30,1049,409172
"their_hand","their","hand",120,254217,33336
"ordering_him","ordering","him",15,1047,153095
"ideal_with","ideal","with",16,5538,658333
"road_stockton","road","stockton",26,26407,913
"towards_better","towards","better",13,27224,34513
"shortly_but","shortly","but",11,3740,443525
"persuasive_evidence","persuasive","evidence",13,534,21083
"dictated_the","dictated","the",45,571,6036130
"wind_were","wind","were",11,7267,307547
"federation_and","federation","and",124,2057,2614893
"are_within","are","within",233,456718,45536
"poking_around","poking","around",22,228,43269
"or_receiving","or","receiving",31,368104,3226
"rather_then","rather","then",35,41714,153059
"plain_flour","plain","flour",97,3994,1028
"departmental_staff","departmental","staff",12,873,22310
"up_everything","up","everything",72,206222,17083
"bord_pleanala","bord","pleanala",11,26,11
"are_freed","are","freed",18,456718,892
"bs_au","bs","au",11,313,437
"separatists_in","separatists","in",11,84,1937245
"i_raise","i","raise",36,720226,6135
"whole_being","whole","being",84,29935,87540
"a_gong","a","gong",21,2169721,106
"assistant_commissioner","assistant","commissioner",36,3518,1384
"japanese_to","japanese","to",52,6064,2593392
"some_scholars","some","scholars",35,166759,1087
"a_liver","a","liver",34,2169721,1615
"of_entity","of","entity",14,3041281,1141
"the_herefordshire","the","herefordshire",20,6036130,328
"by_gunmen","by","gunmen",30,511973,337
"base_pair","base","pair",50,9031,5878
"unchanged_or","unchanged","or",11,1078,368104
"and_crafts","and","crafts",168,2614893,494
"or_exclusion","or","exclusion",21,368104,1460
"median_serum","median","serum",25,913,1312
"slight_frown","slight","frown",15,2877,487
"staying_at","staying","at",344,2776,521986
"probably_well","probably","well",22,26091,137061
"gone_quite","gone","quite",26,18313,39307
"malaysia_has","malaysia","has",22,596,252098
"submitted_on","submitted","on",25,2178,727437
"experiment_was","experiment","was",144,3081,860745
"nicky_summerbee","nicky","summerbee",15,559,21
"way_other","way","other",38,95412,152211
"eve_party","eve","party",13,1518,37409
"others_insist","others","insist",11,27120,1601
"has_stood","has","stood",96,252098,12143
"under_their","under","their",470,60556,254217
"scar_on","scar","on",47,411,727437
"to_seem","to","seem",257,2593392,16483
"wryly_as","wryly","as",13,330,653528
"map_in","map","in",67,4054,1937245
"unfortunate_thing","unfortunate","thing",11,1544,33484
"definitely_more","definitely","more",18,2831,208888
"immediately_afterwards","immediately","afterwards",86,10085,4402
"matrix_NUM","matrix","NUM",11,1424,1265511
"victory_as","victory","as",40,5494,653528
"supported_this","supported","this",51,5636,452531
"the_phosphorus","the","phosphorus",16,6036130,185
"atlantic_it","atlantic","it",20,2172,918894
"can_face","can","face",50,231901,32646
"and_minimize","and","minimize",13,2614893,317
"of_interdependent","of","interdependent",16,3041281,175
"official_of","official","of",111,9543,3041281
"glove_in","glove","in",11,367,1937245
"moustache_which","moustache","which",13,546,364831
"house_manager","house","manager",15,48762,13275
"how_many's","how","many's",23,96755,45
"someone_standing","someone","standing",14,16858,9654
"colleagues_suggest","colleagues","suggest",12,5301,8769
"another_had","another","had",57,58416,412099
"a_facsimile","a","facsimile",40,2169721,239
"must_trust","must","trust",13,68791,9653
"is_constructing","is","constructing",11,970830,507
"that_gives","that","gives",434,1048180,10282
"organiser_john","organiser","john",12,660,29906
"by_october","by","october",121,511973,10442
"parental_attitudes","parental","attitudes",15,1313,4699
"jokes_and","jokes","and",121,1127,2614893
"downturn_of","downturn","of",13,260,3041281
"mop_up","mop","up",66,257,206222
"NUM_contest","NUM","contest",24,1265511,1678
"said_back","said","back",13,193749,96552
"ski_club","ski","club",29,857,15190
"earth_information","earth","information",13,8326,37932
"of_beinn","of","beinn",25,3041281,96
"whilst_she","whilst","she",30,5771,321346
"insurance_funds","insurance","funds",14,6878,6207
"the_mainland","the","mainland",494,6036130,1027
"currie_and","currie","and",19,367,2614893
"the_pelagic","the","pelagic",16,6036130,61
"a_novus","a","novus",17,2169721,25
"exposed_as","exposed","as",57,2631,653528
"then_s","then","s",22,153059,19436
"individuals_by","individuals","by",32,7837,511973
"lands_at","lands","at",20,2070,521986
"NUM_libraries","NUM","libraries",27,1265511,2106
"and_allow","and","allow",506,2614893,11250
"arrested_by","arrested","by",169,3440,511973
"resection_specimens","resection","specimens",12,198,1470
"kepler_wessels","kepler","wessels",20,70,76
"poland_has","poland","has",13,1813,252098
"of_perishable","of","perishable",12,3041281,89
"disc_vga","disc","vga",13,1592,223
"god_his","god","his",36,18656,409172
"american_pressure","american","pressure",11,15984,11721
"shots_in","shots","in",84,1752,1937245
"after_shooting","after","shooting",14,113561,2153
"curtain_fabric","curtain","fabric",20,1301,2062
"to_pipe","to","pipe",24,2593392,2421
"exciting_new","exciting","new",122,3227,123449
"the_halt","the","halt",23,6036130,1690
"person_only","person","only",15,23182,148191
"that_betty","that","betty",12,1048180,1228
"africans_to","africans","to",19,502,2593392
"already_caused","already","caused",22,33182,9372
"and_edwards","and","edwards",27,2614893,1159
"name_written","name","written",20,24896,13411
"approximate_number","approximate","number",17,536,48629
"gross_to","gross","to",13,2437,2593392
"ask_she","ask","she",16,18444,321346
"really_worked","really","worked",35,44441,12309
"bbc_was","bbc","was",47,3856,860745
"the_women","the","women",2494,6036130,32880
"from_rival","from","rival",18,423379,2518
"about_europe","about","europe",39,191133,15829
"finish_this","finish","this",92,4355,452531
"fighting_this","fighting","this",20,5458,452531
"and_abortion","and","abortion",47,2614893,1199
"the_professional's","the","professional's",24,6036130,55
"follow_them","follow","them",140,9721,166575
"three_p","three","p",33,76957,30891
"around_for","around","for",702,43269,877618
"and_escape","and","escape",88,2614893,4545
"of_arrest","of","arrest",103,3041281,2123
"basement_flat","basement","flat",34,797,8081
"sentence_such","sentence","such",31,5655,106950
"family_heirlooms","family","heirlooms",15,32741,31
"have_wept","have","wept",31,447159,477
"before_parting","before","parting",15,84765,504
"shares_should","shares","should",24,8359,104688
"and_staffordshire","and","staffordshire",16,2614893,398
"with_parliamentary","with","parliamentary",34,658333,4211
"defences_against","defences","against",50,1078,54845
"one_theory","one","theory",67,287758,12714
"just_really","just","really",64,125369,44441
"being_utilised","being","utilised",13,87540,318
"developed_at","developed","at",155,12197,521986
"eat_said","eat","said",12,7202,193749
"administration_of","administration","of",1091,6355,3041281
"being_friends","being","friends",17,87540,14313
"committed_at","committed","at",27,5232,521986
"are_sprayed","are","sprayed",13,456718,326
"one_through","one","through",63,287758,81023
"had_mixed","had","mixed",44,412099,4200
"favourite_subject","favourite","subject",32,4616,21135
"his_parentage","his","parentage",11,409172,104
"er_have","er","have",242,86782,447159
"assemblies_in","assemblies","in",34,497,1937245
"with_crystal","with","crystal",37,658333,1992
"dislike_and","dislike","and",36,951,2614893
"johan_cruyff","johan","cruyff",11,70,23
"as_innocent","as","innocent",49,653528,2368
"modifying_their","modifying","their",20,303,254217
"splashing_through","splashing","through",16,266,81023
"for_fishing","for","fishing",51,877618,3323
"akce_a","akce","a",26,42,2169721
"proceeded_by","proceeded","by",20,1024,511973
"imports_into","imports","into",37,1955,157599
"shotguns_and","shotguns","and",12,64,2614893
"three_fundamental","three","fundamental",18,76957,4475
"or_custom","or","custom",22,368104,1442
"clearly_delineated","clearly","delineated",15,14976,101
"looked_across","looked","across",317,32165,23960
"been_drilled","been","drilled",27,259718,358
"over_those","over","those",168,122926,86818
"pips_in","pips","in",20,130,1937245
"in_masonry","in","masonry",12,1937245,337
"and_observations","and","observations",61,2614893,2120
"for_article","for","article",11,877618,6477
"children_away","children","away",35,41066,47607
"publications_on","publications","on",59,1921,727437
"drama_can","drama","can",21,3457,231901
"could_keep","could","keep",254,143186,26678
"new_grouping","new","grouping",18,123449,727
"selby_and","selby","and",21,380,2614893
"through_green","through","green",12,81023,13900
"it_forever","it","forever",24,918894,1749
"the_much","the","much",586,6036130,89395
"question_not","question","not",37,25337,448154
"about_five","about","five",870,191133,38861
"authoritarianism_and","authoritarianism","and",20,94,2614893
"and_recycle","and","recycle",23,2614893,175
"shopping_day","shopping","day",11,3650,58173
"st_johnstone","st","johnstone",57,14221,263
"today_been","today","been",15,22517,259718
"cultural_change","cultural","change",64,6417,31326
"evidence_supporting","evidence","supporting",35,21083,2998
"of_constipation","of","constipation",33,3041281,300
"preference_will","preference","will",19,2150,250441
"these_republics","these","republics",23,123180,1411
"recruiting_new","recruiting","new",18,599,123449
"as_sponsors","as","sponsors",17,653528,764
"sixth_year","sixth","year",59,2492,68321
"her_name's","her","name's",31,302784,347
"voice_rang","voice","rang",19,16346,2472
"hold_water","hold","water",36,13042,33535
"shots_at","shots","at",70,1752,521986
"bbc_television","bbc","television",71,3856,9515
"NUM_incorporated","NUM","incorporated",14,1265511,2004
"development_including","development","including",26,31856,23926
"as_unreasonable","as","unreasonable",15,653528,976
"are_pieces","are","pieces",14,456718,5339
"your_christian","your","christian",12,133494,6689
"story_starts","story","starts",15,13083,3932
"senior_medical","senior","medical",31,8249,9177
"of_stitching","of","stitching",15,3041281,196
"treatment_would","treatment","would",41,12012,228948
"pragmatist_judge","pragmatist","judge",11,92,6373
"rainfall_is","rainfall","is",30,404,970830
"module_leaders","module","leaders",13,3208,7098
"and_glutathione","and","glutathione",17,2614893,102
"possessions_of","possessions","of",47,824,3041281
"then_continue","then","continue",50,153059,11612
"lebanon_but","lebanon","but",11,985,443525
"for_alec","for","alec",14,877618,723
"at_queen's","at","queen's",118,521986,1831
"and_hiv","and","hiv",54,2614893,1733
"and_technique","and","technique",70,2614893,4538
"that_were","that","were",3578,1048180,307547
"had_starved","had","starved",11,412099,332
"intervals_between","intervals","between",68,1625,90462
"proceedings_until","proceedings","until",11,4192,40003
"distribution_deal","distribution","deal",13,6141,16887
"potential_energy","potential","energy",92,11069,11845
"generating_company","generating","company",12,958,35779
"rocks_near","rocks","near",14,2847,17807
"senior_professional","senior","professional",11,8249,10842
"sang_and","sang","and",68,1111,2614893
"office_again","office","again",22,24537,56640
"tariq_aziz","tariq","aziz",39,106,238
"on_rates","on","rates",28,727437,11505
"provide_finance","provide","finance",14,22140,7406
"her_sight","her","sight",50,302784,6315
"the_stoke","the","stoke",31,6036130,596
"with_systems","with","systems",39,658333,16988
"who_collected","who","collected",21,191162,3458
"not_maintain","not","maintain",57,448154,5392
"whatever_cost","whatever","cost",16,12519,20363
"as_temperatures","as","temperatures",17,653528,1437
"electronic_books","electronic","books",15,3382,12661
"upper_echelons","upper","echelons",38,5317,122
"secretary-general_boutros","secretary-general","boutros",55,828,91
"contract_price","contract","price",37,11728,17991
"an_eleven","an","eleven",38,336611,3235
"currency_to","currency","to",72,3452,2593392
"adult_male","adult","male",77,4957,7595
"a_diameter","a","diameter",61,2169721,1263
"rocky_outcrop","rocky","outcrop",18,950,135
"for_repayment","for","repayment",42,877618,729
"particular_evening","particular","evening",18,28733,12366
"he_treated","he","treated",111,588865,6917
"drew_close","drew","close",14,4748,20681
"possibly_get","possibly","get",32,6921,95302
"however_require","however","require",17,59624,6819
"accords_with","accords","with",77,252,658333
"play-off_final","play-off","final",17,250,15311
"college_if","college","if",11,9884,253058
"respect_the","respect","the",399,9902,6036130
"the_aga","the","aga",49,6036130,113
"department_over","department","over",13,15351,122926
"hold_himself","hold","himself",15,13042,28901
"which_consent","which","consent",24,364831,3519
"leggy_mambo","leggy","mambo",11,57,46
"milan_in","milan","in",44,909,1937245
"barely_more","barely","more",17,2172,208888
"and_mortar","and","mortar",95,2614893,596
"effect_be","effect","be",43,23082,649613
"highway_from","highway","from",11,925,423379
"this_task","this","task",335,452531,8868
"slaves_or","slaves","or",13,743,368104
"the_toad","the","toad",45,6036130,274
"lower_oil","lower","oil",14,12218,10074
"friend_you","friend","you",41,15424,579748
